Race	Sex	Age	Risk
White	Male	57	4.25
White	Male	44	1.0
White	Male	65	8.85
White	Male	48	1.63
White	Male	74	18.25
White	Male	94	69.39
White	Male	25	0.04
White	Male	43	0.88
White	Male	92	61.54
White	Male	45	1.14
White	Male	93	65.37
White	Male	89	51.14
White	Male	37	0.38
White	Male	23,24	0.03
White	Male	96	78.04
White	Male	52	2.55
White	Male	50	2.05
White	Male	98	87.56
White	Male	88	48.01
White	Male	84	37.03
White	Male	20	0.01
White	Male	87	45.05
White	Male	32	0.17
White	Male	82	32.37
White	Male	73	16.92
White	Male	95	73.61
White	Male	34	0.24
White	Male	42	0.77
White	Male	46	1.28
White	Male	54	3.14
White	Male	78	24.49
White	Male	30	0.12
White	Male	56	3.85
White	Male	28	0.08
White	Male	68	11.38
White	Male	40	0.59
White	Male	80	28.2
White	Male	85	39.56
White	Male	38	0.44
White	Male	61	6.21
White	Male	63	7.43
White	Male	79	26.29
White	Male	31	0.14
White	Male	77	22.78
White	Male	36	0.33
White	Male	59	5.15
White	Male	62	6.8
White	Male	47	1.45
White	Male	33	0.2
White	Male	49	1.83
White	Male	58	4.68
White	Male	60	5.66
White	Male	71	14.49
White	Male	51	2.28
White	Male	35	0.28
White	Male	83	34.64
White	Male	97	82.69
White	Male	75	19.67
White	Male	69	12.35
White	Male	21,22	0.02
White	Male	91	57.9
White	Male	26	0.05
White	Male	29	0.1
White	Male	66	9.64
White	Male	99	92.67
White	Male	76	21.18
White	Male	72	15.66
White	Male	67	10.48
White	Male	41	0.68
White	Male	53	2.83
White	Male	90	54.43
White	Male	55	3.48
White	Male	64	8.11
White	Male	39	0.51
White	Male	27	0.07
White	Male	81	30.23
White	Male	86	42.23
White	Male	70	13.38
White	Female	49	0.75
White	Female	52	1.0
White	Female	71	7.92
White	Female	65	4.0
White	Female	56	1.5
White	Female	89	64.29
White	Female	47	0.63
White	Female	79	20.02
White	Female	80	22.49
White	Female	82	28.41
White	Female	50	0.82
White	Female	78	17.82
White	Female	77	15.86
White	Female	88	57.22
White	Female	60	2.3
White	Female	62	2.86
White	Female	38	0.32
White	Female	39	0.34
White	Female	36	0.29
White	Female	83	31.92
White	Female	30,31,32	0.26
White	Female	84	35.88
White	Female	70	7.06
White	Female	85	40.32
White	Female	57	1.67
White	Female	43	0.45
White	Female	59	2.06
White	Female	75	12.57
White	Female	42	0.42
White	Female	45	0.53
White	Female	74	11.19
White	Female	72	8.88
White	Female	67	5.01
White	Female	86	45.31
White	Female	51	0.91
White	Female	91	81.15
White	Female	69	6.3
White	Female	58	1.85
White	Female	87	50.92
White	Female	29,33,34	0.27
White	Female	61	2.57
White	Female	44	0.49
White	Female	46	0.57
White	Female	73	9.97
White	Female	66	4.48
White	Female	54	1.22
White	Female	68	5.62
White	Female	93,94,95,96,97,98,99	99.0
White	Female	55	1.35
White	Female	53	1.1
White	Female	81	25.28
White	Female	92	91.17
White	Female	40	0.37
White	Female	76	14.12
White	Female	90	72.24
White	Female	41	0.39
White	Female	48	0.68
White	Female	64	3.58
White	Female	37	0.31
White	Female	35	0.28
White	Female	63	3.2
Black	Male	68	7.99
Black	Male	91	16.41
Black	Male	47	3.21
Black	Male	54	4.52
Black	Male	95	18.25
Black	Male	62	6.36
Black	Male	21	0.44
Black	Male	64	6.88
Black	Male	84	13.47
Black	Male	34	1.44
Black	Male	27	0.82
Black	Male	45	2.88
Black	Male	97	19.22
Black	Male	76	10.52
Black	Male	73	9.52
Black	Male	41	2.29
Black	Male	78	11.22
Black	Male	75	10.18
Black	Male	38	1.9
Black	Male	31	1.15
Black	Male	80	11.94
Black	Male	89	15.54
Black	Male	37	1.78
Black	Male	61	6.11
Black	Male	46	3.05
Black	Male	56	4.95
Black	Male	36	1.66
Black	Male	88	15.11
Black	Male	43	2.58
Black	Male	42	2.43
Black	Male	81	12.31
Black	Male	77	10.87
Black	Male	66	7.43
Black	Male	98	19.71
Black	Male	35	1.55
Black	Male	92	16.86
Black	Male	28	0.89
Black	Male	69	8.29
Black	Male	60	5.87
Black	Male	87	14.69
Black	Male	30	1.06
Black	Male	44	2.73
Black	Male	82	12.69
Black	Male	72	9.21
Black	Male	29	0.97
Black	Male	71	8.89
Black	Male	59	5.63
Black	Male	86	14.28
Black	Male	74	9.85
Black	Male	65	7.15
Black	Male	40	2.16
Black	Male	48	3.38
Black	Male	22	0.49
Black	Male	51	3.93
Black	Male	39	2.03
Black	Male	33	1.34
Black	Male	55	4.73
Black	Male	83	13.08
Black	Male	63	6.62
Black	Male	24	0.61
Black	Male	49	3.56
Black	Male	58	5.4
Black	Male	23	0.55
Black	Male	53	4.32
Black	Male	70	8.59
Black	Male	52	4.12
Black	Male	26	0.74
Black	Male	85	13.87
Black	Male	79	11.58
Black	Male	20	0.39
Black	Male	25	0.68
Black	Male	99	20.21
Black	Male	67	7.71
Black	Male	32	1.24
Black	Male	93	17.32
Black	Male	50	3.74
Black	Male	96	18.73
Black	Male	90	15.97
Black	Male	94	17.78
Black	Male	57	5.17
Black	Female	20	0.0
Black	Female	59	2.75
Black	Female	70	7.67
Black	Female	97	54.48
Black	Female	44	0.47
Black	Female	86	26.43
Black	Female	82	19.85
Black	Female	29	0.04
Black	Female	69	7.04
Black	Female	90	34.73
Black	Female	53	1.44
Black	Female	43	0.41
Black	Female	99	61.58
Black	Female	58	2.48
Black	Female	50	1.02
Black	Female	27,28	0.03
Black	Female	78	14.7
Black	Female	47	0.7
Black	Female	21,22,23,24	0.01
Black	Female	56	2.01
Black	Female	64	4.48
Black	Female	54	1.61
Black	Female	66	5.39
Black	Female	94	45.1
Black	Female	35	0.12
Black	Female	52	1.29
Black	Female	81	18.44
Black	Female	73	9.87
Black	Female	95	48.07
Black	Female	31	0.06
Black	Female	88	30.35
Black	Female	96	51.19
Black	Female	49	0.9
Black	Female	33	0.08
Black	Female	61	3.36
Black	Female	98	57.94
Black	Female	76	12.58
Black	Female	41	0.31
Black	Female	74	10.71
Black	Female	42	0.36
Black	Female	89	32.48
Black	Female	63	4.07
Black	Female	80	17.12
Black	Female	67	5.9
Black	Female	84	22.95
Black	Female	77	13.6
Black	Female	38	0.2
Black	Female	45	0.54
Black	Female	91	37.12
Black	Female	93	42.3
Black	Female	68	6.45
Black	Female	87	28.33
Black	Female	51	1.14
Black	Female	39	0.23
Black	Female	36	0.14
Black	Female	83	21.35
Black	Female	25,26	0.02
Black	Female	30	0.05
Black	Female	34	0.1
Black	Female	40	0.27
Black	Female	48	0.8
Black	Female	55	1.8
Black	Female	65	4.92
Black	Female	79	15.87
Black	Female	92	39.64
Black	Female	37	0.17
Black	Female	71	8.36
Black	Female	57	2.23
Black	Female	46	0.62
Black	Female	75	11.61
Black	Female	60	3.04
Black	Female	32	0.07
Black	Female	85	24.64
Black	Female	62	3.7
Black	Female	72	9.09
