name	males	females	total	medianage	25thpercentile	75thpercentile
satara	0	271	271	28.0	23.0	35.0
britiney	0	92	92	26.0	24.0	27.25
arely	0	1888	1888	19.0	17.0	23.0
charelle	0	413	413	27.0	23.0	31.0
antal	8	0	8	48.0	48.0	48.0
elizeo	10	0	10	19.5	15.0	24.0
montoria	0	10	10	23.0	19.0	27.0
poetry	0	5	5	16.0	16.0	16.0
derika	0	323	323	23.0	19.0	28.5
shamane	0	23	23	44.0	44.0	45.0
larsen	143	22	165	19.0	16.0	26.0
derike	6	0	6	37.0	37.0	37.0
elizer	25	0	25	16.0	15.0	22.0
britinee	0	13	13	26.0	26.0	27.0
jazzmon	0	101	101	21.0	19.0	26.0
katianne	0	89	89	25.0	20.0	28.0
delborah	0	5	5	62.0	62.0	62.0
ayodeji	81	0	81	20.0	17.0	27.0
destane	0	60	60	18.5	17.0	21.0
grabriela	0	37	37	23.0	19.0	28.0
oteria	0	21	21	49.0	32.0	49.0
bobbilynn	0	5	5	41.0	41.0	41.0
nechole	0	30	30	45.0	43.0	46.0
eury	11	0	11	20.0	20.0	20.0
quintion	5	0	5	51.0	51.0	51.0
yadria	0	5	5	23.0	23.0	23.0
eura	84	1036	1120	74.0	65.0	82.5
vaugh	12	0	12	45.0	24.0	45.0
western	19	0	19	82.5	77.0	88.25
chevy	641	95	736	22.0	18.0	29.0
patryce	0	114	114	40.0	33.0	54.0
joniece	0	58	58	22.0	19.0	27.0
quenette	0	5	5	35.0	35.0	35.0
carrisa	0	490	490	26.0	22.0	33.0
nelva	0	1118	1118	70.0	60.0	79.0
quenetta	0	43	43	27.0	26.0	32.5
cael	95	0	95	16.0	15.0	19.0
sherlita	0	25	25	43.0	42.0	43.0
elea	0	34	34	21.0	15.0	28.0
tootie	0	5	5	57.0	57.0	57.0
elec	6	0	6	17.0	17.0	17.0
phyllistine	0	80	80	61.0	58.75	64.0
valli	0	659	659	60.0	54.0	63.0
issaac	107	0	107	25.0	18.0	31.5
namrata	0	109	109	23.0	18.0	27.0
marneshia	0	5	5	22.0	22.0	22.0
valle	0	34	34	58.0	56.0	59.0
blade	899	0	899	19.0	17.0	22.0
ayleen	0	606	606	17.0	16.0	18.0
valla	0	211	211	65.0	60.75	76.0
elen	0	192	192	34.0	24.0	61.0
gloster	11	0	11	83.0	83.0	85.0
jorell	247	0	247	27.0	21.0	31.0
lastacia	0	69	69	25.0	19.0	28.0
eles	5	0	5	93.0	93.0	93.0
vally	0	6	6	60.0	60.0	60.0
tajah	58	480	538	19.0	16.0	22.0
alya	0	246	246	20.5	17.0	25.0
elex	607	0	607	54.0	35.0	71.0
morten	43	0	43	91.5	84.75	99.25
thuytien	0	34	34	22.0	18.0	24.0
meleia	0	27	27	37.0	35.5	44.0
kearney	268	12	280	64.0	53.0	74.0
kerrion	42	12	54	16.0	16.0	17.0
marlita	0	211	211	47.0	37.0	55.0
reinette	0	73	73	57.0	54.5	61.0
tukesha	0	5	5	40.0	40.0	40.0
loel	278	5	283	61.0	55.0	72.0
rayleigh	0	57	57	17.0	16.0	18.0
courtany	0	77	77	23.0	19.0	25.0
daryen	11	14	25	21.0	21.0	22.0
daryel	399	0	399	53.0	44.0	60.0
idellar	0	30	30	95.0	87.5	102.0
loey	0	11	11	45.0	45.0	45.0
elizet	0	50	50	23.0	18.25	29.75
nathinel	45	0	45	78.0	74.0	95.0
misti	0	8220	8220	38.0	33.0	42.0
maydell	0	360	360	82.0	74.0	89.0
gurkamal	5	0	5	15.0	15.0	15.0
ranasia	0	6	6	15.0	15.0	15.0
cissie	0	5	5	56.0	56.0	56.0
nonnie	0	594	594	65.0	54.0	75.0
garyon	12	0	12	15.0	15.0	18.0
rufes	5	0	5	87.0	87.0	87.0
shakaiya	0	5	5	15.0	15.0	15.0
duwanna	0	11	11	51.0	48.0	51.0
ilcia	0	5	5	22.0	22.0	22.0
brookeann	0	5	5	24.0	24.0	24.0
charade	0	11	11	51.0	48.0	51.0
ramonia	0	386	386	54.0	47.0	62.0
burrill	10	0	10	94.5	93.75	95.25
