Name	Males	Females	Total	MedianAge	25thPercentile	75thPercentile
Satara	0	271	271	28.0	23.0	35.0
Britiney	0	92	92	26.0	24.0	27.25
Arely	0	1888	1888	19.0	17.0	23.0
Charelle	0	413	413	27.0	23.0	31.0
Antal	8	0	8	48.0	48.0	48.0
Elizeo	10	0	10	19.5	15.0	24.0
Montoria	0	10	10	23.0	19.0	27.0
Poetry	0	5	5	16.0	16.0	16.0
Derika	0	323	323	23.0	19.0	28.5
Shamane	0	23	23	44.0	44.0	45.0
Larsen	143	22	165	19.0	16.0	26.0
Derike	6	0	6	37.0	37.0	37.0
Elizer	25	0	25	16.0	15.0	22.0
Britinee	0	13	13	26.0	26.0	27.0
Jazzmon	0	101	101	21.0	19.0	26.0
Katianne	0	89	89	25.0	20.0	28.0
Delborah	0	5	5	62.0	62.0	62.0
Ayodeji	81	0	81	20.0	17.0	27.0
Destane	0	60	60	18.5	17.0	21.0
Grabriela	0	37	37	23.0	19.0	28.0
Oteria	0	21	21	49.0	32.0	49.0
Bobbilynn	0	5	5	41.0	41.0	41.0
Nechole	0	30	30	45.0	43.0	46.0
Eury	11	0	11	20.0	20.0	20.0
Quintion	5	0	5	51.0	51.0	51.0
Yadria	0	5	5	23.0	23.0	23.0
Eura	84	1036	1120	74.0	65.0	82.5
Vaugh	12	0	12	45.0	24.0	45.0
Western	19	0	19	82.5	77.0	88.25
Chevy	641	95	736	22.0	18.0	29.0
Patryce	0	114	114	40.0	33.0	54.0
Joniece	0	58	58	22.0	19.0	27.0
Quenette	0	5	5	35.0	35.0	35.0
Carrisa	0	490	490	26.0	22.0	33.0
Nelva	0	1118	1118	70.0	60.0	79.0
Quenetta	0	43	43	27.0	26.0	32.5
Cael	95	0	95	16.0	15.0	19.0
Sherlita	0	25	25	43.0	42.0	43.0
Elea	0	34	34	21.0	15.0	28.0
Tootie	0	5	5	57.0	57.0	57.0
Elec	6	0	6	17.0	17.0	17.0
Phyllistine	0	80	80	61.0	58.75	64.0
Valli	0	659	659	60.0	54.0	63.0
Issaac	107	0	107	25.0	18.0	31.5
Namrata	0	109	109	23.0	18.0	27.0
Marneshia	0	5	5	22.0	22.0	22.0
Valle	0	34	34	58.0	56.0	59.0
Blade	899	0	899	19.0	17.0	22.0
Ayleen	0	606	606	17.0	16.0	18.0
Valla	0	211	211	65.0	60.75	76.0
Elen	0	192	192	34.0	24.0	61.0
Gloster	11	0	11	83.0	83.0	85.0
Jorell	247	0	247	27.0	21.0	31.0
Lastacia	0	69	69	25.0	19.0	28.0
Eles	5	0	5	93.0	93.0	93.0
Vally	0	6	6	60.0	60.0	60.0
Tajah	58	480	538	19.0	16.0	22.0
Alya	0	246	246	20.5	17.0	25.0
Elex	607	0	607	54.0	35.0	71.0
Morten	43	0	43	91.5	84.75	99.25
Thuytien	0	34	34	22.0	18.0	24.0
Meleia	0	27	27	37.0	35.5	44.0
Kearney	268	12	280	64.0	53.0	74.0
Kerrion	42	12	54	16.0	16.0	17.0
Marlita	0	211	211	47.0	37.0	55.0
Reinette	0	73	73	57.0	54.5	61.0
Tukesha	0	5	5	40.0	40.0	40.0
Loel	278	5	283	61.0	55.0	72.0
Rayleigh	0	57	57	17.0	16.0	18.0
Courtany	0	77	77	23.0	19.0	25.0
Daryen	11	14	25	21.0	21.0	22.0
Daryel	399	0	399	53.0	44.0	60.0
Idellar	0	30	30	95.0	87.5	102.0
Loey	0	11	11	45.0	45.0	45.0
Elizet	0	50	50	23.0	18.25	29.75
Nathinel	45	0	45	78.0	74.0	95.0
Misti	0	8220	8220	38.0	33.0	42.0
Maydell	0	360	360	82.0	74.0	89.0
Gurkamal	5	0	5	15.0	15.0	15.0
Ranasia	0	6	6	15.0	15.0	15.0
Cissie	0	5	5	56.0	56.0	56.0
Nonnie	0	594	594	65.0	54.0	75.0
Garyon	12	0	12	15.0	15.0	18.0
Rufes	5	0	5	87.0	87.0	87.0
Shakaiya	0	5	5	15.0	15.0	15.0
Duwanna	0	11	11	51.0	48.0	51.0
Ilcia	0	5	5	22.0	22.0	22.0
