Intervention	MinDaysWithData	MotionTrackerSubjects	HealthKitStepSubjects	HealthKitDistanceSubjects
read_aha	1	357	366	354
None	1	994	1146	1090
NA	1	146	215	206
walk	1	344	351	334
cluster	1	353	352	340
stand	1	360	344	337
Any	1	558	582	577
read_aha	2	356	331	317
None	2	989	785	740
NA	2	145	187	176
walk	2	341	312	295
cluster	2	352	316	303
stand	2	360	304	299
Any	2	558	534	528
read_aha	3	345	293	273
None	3	967	556	528
NA	3	140	170	157
walk	3	331	260	243
cluster	3	348	272	259
stand	3	355	272	263
Any	3	548	476	467
read_aha	4	315	254	242
None	4	901	459	432
NA	4	129	155	143
walk	4	308	228	212
cluster	4	328	230	214
stand	4	320	245	241
Any	4	518	431	419
read_aha	5	278	233	221
None	5	827	373	346
NA	5	111	152	141
walk	5	280	205	191
cluster	5	302	203	184
stand	5	283	221	218
Any	5	480	398	391
read_aha	6	266	202	195
None	6	781	310	282
NA	6	100	149	138
walk	6	270	178	163
cluster	6	287	181	162
stand	6	270	189	184
Any	6	461	359	352
read_aha	7	252	177	167
None	7	727	231	212
NA	7	98	143	132
walk	7	257	156	148
cluster	7	273	157	144
stand	7	256	167	157
Any	7	447	334	320
