Race	Sex	Age	Baseline
Average	Average	0	0.00681
Average	Average	1	0.00045
Average	Average	2	0.00028
Average	Average	3	0.00022
Average	Average	4	0.00017
Average	Average	5	0.00015
Average	Average	6	0.00014
Average	Average	7	0.00012
Average	Average	8	0.00011
Average	Average	9	9e-05
Average	Average	10	8e-05
Average	Average	11	9e-05
Average	Average	12	0.00012
Average	Average	13	0.00019
Average	Average	14	0.00029
Average	Average	15	0.00039
Average	Average	16	0.00048
Average	Average	17	0.00057
Average	Average	18	0.00065
Average	Average	19	0.00073
Average	Average	20	0.00082
Average	Average	21	0.0009
Average	Average	22	0.00095
Average	Average	23	0.00097
Average	Average	24	0.00096
Average	Average	25	0.00095
Average	Average	26	0.00094
Average	Average	27	0.00094
Average	Average	28	0.00095
Average	Average	29	0.00096
Average	Average	30	0.00099
Average	Average	31	0.00102
Average	Average	32	0.00105
Average	Average	33	0.0011
Average	Average	34	0.00114
Average	Average	35	0.0012
Average	Average	36	0.00127
Average	Average	37	0.00135
Average	Average	38	0.00145
Average	Average	39	0.00157
Average	Average	40	0.0017
Average	Average	41	0.00185
Average	Average	42	0.00203
Average	Average	43	0.00224
Average	Average	44	0.00246
Average	Average	45	0.00269
Average	Average	46	0.00292
Average	Average	47	0.00317
Average	Average	48	0.00344
Average	Average	49	0.00373
Average	Average	50	0.00405
Average	Average	51	0.00437
Average	Average	52	0.0047
Average	Average	53	0.00502
Average	Average	54	0.00535
Average	Average	55	0.00569
Average	Average	56	0.00606
Average	Average	57	0.00648
Average	Average	58	0.00694
Average	Average	59	0.00744
Average	Average	60	0.008
Average	Average	61	0.00858
Average	Average	62	0.0092
Average	Average	63	0.00984
Average	Average	64	0.01053
Average	Average	65	0.01131
Average	Average	66	0.01131
Average	Average	67	0.01131
Average	Average	68	0.01571
Average	Average	69	0.01571
Average	Average	70	0.01571
Average	Average	71	0.01571
Average	Average	72	0.01571
Average	Average	73	0.02288
Average	Average	74	0.02288
Average	Average	75	0.02288
Average	Average	76	0.02288
Average	Average	77	0.02288
Average	Average	78	0.03058
Average	Average	79	0.03058
Average	Average	80	0.03058
Average	Average	81	0.03058
Average	Average	82	0.03058
Average	Average	83	0.03498
Average	Average	84	0.03498
Average	Average	85	0.03498
Average	Average	86	0.03498
Average	Average	87	0.03498
Average	Average	88	0.03107
Average	Average	89	0.03107
Average	Average	90	0.03107
Average	Average	91	0.03107
Average	Average	92	0.03107
Average	Average	93	0.0185
Average	Average	94	0.0185
Average	Average	95	0.0185
