ZIP3	Count
940	1243
117	245
123	109
995	101
200	401
652	66
986	81
407	12
950	751
100	952
483	121
258	22
350	42
902	323
631	186
523	23
201	245
479	47
212	169
190	238
373	71
110	80
875	62
730	168
495	85
610	56
197	47
713	15
297	52
347	135
275	225
481	249
220	166
222	184
454	88
150	91
921	477
070	42
830	20
441	174
208	285
119	31
540	85
405	56
440	134
680	112
321	73
410	76
331	447
191	222
151	63
111	118
231	54
230	66
112	428
234	99
480	164
450	101
442	48
395	44
630	134
731	95
391	25
300	426
606	607
605	174
494	71
531	95
751	36
604	123
719	20
210	552
535	68
376	28
774	148
310	70
180	164
900	512
951	637
160	38
750	466
125	58
105	116
618	42
563	18
947	142
152	169
309	18
685	68
555	12
740	178
207	92
681	103
801	227
214	35
840	301
280	166
118	10
786	178
809	124
193	69
500	67
318	13
640	161
775	118
773	237
474	30
420	25
931	93
124	23
973	84
400	92
941	971
920	322
101	73
863	31
501	36
895	80
907	92
901	19
770	454
010	31
109	66
853	151
372	98
928	198
972	364
980	385
727	83
803	86
917	229
315	18
943	435
992	39
806	35
225	44
600	482
330	210
328	158
550	96
841	171
757	23
325	114
890	169
482	40
306	46
880	193
945	834
741	55
714	16
116	26
932	49
910	85
971	57
703	18
925	131
274	36
235	33
891	178
585	24
460	111
359	14
465	66
250	21
173	28
860	93
554	268
240	236
421	53
354	26
760	249
333	140
870	62
455	11
370	168
090	77
374	77
430	186
802	236
402	98
223	91
024	18
301	146
334	363
852	408
113	127
700	397
329	97
326	94
704	45
357	31
170	211
537	119
290	107
846	95
060	43
486	27
580	13
791	25
282	150
571	25
620	41
352	101
871	115
850	289
463	55
196	19
221	105
662	109
432	153
452	137
161	16
444	23
283	42
462	165
341	74
103	61
762	95
660	108
178	18
670	86
276	124
303	265
549	46
617	67
959	87
953	140
764	22
780	108
115	123
641	88
602	45
140	62
457	23
244	13
322	140
532	85
351	15
340	11
752	212
120	85
701	80
327	172
294	126
368	29
829	12
337	67
690	29
787	375
176	24
520	15
601	202
172	17
206	49
335	125
958	205
431	29
922	72
977	33
448	19
919	63
209	118
232	84
320	109
706	10
837	57
800	335
936	78
296	75
302	65
380	116
665	31
553	188
833	17
194	88
782	232
277	63
349	55
175	38
926	373
935	36
435	14
323	87
778	47
820	29
130	114
287	39
915	42
906	100
982	174
371	73
551	200
342	147
270	82
271	32
948	27
126	11
790	89
658	50
923	127
313	37
794	27
843	21
211	71
629	17
436	33
949	204
503	58
996	26
944	112
981	412
381	65
633	81
406	13
253	24
836	51
299	40
189	50
976	10
974	96
933	74
438	11
198	32
224	22
142	60
904	75
705	61
587	21
916	72
378	30
146	59
598	11
913	265
983	116
785	81
710	31
776	10
754	27
799	101
136	26
597	39
720	40
724	11
968	126
470	22
502	34
245	42
657	16
488	72
541	18
165	27
722	20
857	154
565	21
181	18
570	30
767	16
356	23
385	13
957	85
336	140
956	320
912	42
805	112
427	14
911	61
970	176
993	38
217	40
990	28
339	66
984	65
489	24
834	21
616	21
388	19
988	34
358	38
934	77
106	23
560	49
975	55
759	15
591	17
781	44
989	38
317	24
524	23
404	15
530	87
708	60
914	88
386	17
623	20
114	76
784	14
783	15
344	35
305	71
187	11
967	108
423	30
543	25
763	16
856	50
279	15
661	10
930	124
144	45
446	30
184	27
229	72
506	10
304	16
132	37
285	48
272	28
749	10
137	11
908	65
927	42
264	13
466	14
166	10
477	13
952	69
761	126
614	18
954	184
226	19
363	18
000	76
243	12
559	49
346	57
295	73
308	34
882	12
215	12
281	57
510	14
810	19
937	69
997	13
338	95
804	36
656	15
233	46
183	17
213	10
635	12
424	11
473	17
242	23
955	16
627	18
469	13
138	14
493	26
496	14
453	47
522	46
104	73
168	63
490	51
622	59
615	24
156	18
265	13
134	16
174	24
186	10
292	58
711	18
985	80
611	18
726	12
314	21
291	16
612	13
411	15
716	10
816	15
756	15
195	25
946	187
472	18
468	33
362	30
461	38
608	27
924	16
324	24
484	31
844	45
960	62
939	141
557	17
838	27
458	10
415	11
122	35
581	15
467	22
765	49
128	13
672	31
390	24
650	68
582	13
814	14
847	30
528	28
227	10
141	42
121	82
377	24
456	12
260	43
148	49
379	71
497	38
666	13
355	10
030	12
894	33
577	24
293	20
401	15
963	25
969	12
286	26
236	36
707	23
199	34
403	17
298	14
154	10
153	13
999	30
021	28
307	13
316	20
319	13
471	17
599	21
278	37
507	10
797	16
439	10
812	11
107	31
254	25
492	20
628	10
131	17
102	26
397	14
433	11
729	32
145	24
252	13
284	38
961	27
748	25
365	27
779	11
241	23
129	17
255	15
443	12
664	13
219	11
851	22
498	15
451	26
020	11
238	23
905	29
360	23
237	14
590	10
918	10
735	19
228	19
796	14
080	20
978	33
288	27
603	15
721	28
218	10
547	20
394	37
544	46
077	10
475	12
693	16
383	12
613	29
135	12
667	12
366	18
648	14
392	10
534	12
361	12
133	20
425	11
478	10
596	11
171	11
747	25
108	12
546	10
437	10
147	13
028	10
